               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092224,            0.037627,            0.035463,             0.10174,             0.21537,            0.057681,            0.015664,            0.076402,            0.026111,            0.027633,             0.00078,             0.00078,             0.09298
                   1,            0.070424,            0.037898,             0.02453,             0.23726,             0.31656,             0.18877,            0.053843,              0.0648,            0.023075,            0.015648,             0.00157,             0.00157,             0.08587
                   2,            0.062242,            0.033243,            0.013924,              0.3288,             0.36938,             0.25152,            0.072245,            0.061035,            0.021745,            0.015413,           0.0023598,           0.0023598,             0.07876
                   3,             0.05778,            0.031249,           0.0097657,             0.46165,             0.43632,             0.40612,             0.14707,             0.05564,             0.02008,           0.0073234,           0.0031494,           0.0031494,            0.071649
                   4,            0.054594,            0.030399,           0.0075891,             0.47855,             0.40753,             0.37646,             0.13261,             0.05379,            0.019928,            0.011523,           0.0039386,           0.0039386,            0.064539
                   5,            0.052291,            0.030165,           0.0068546,             0.46549,             0.37802,              0.3652,             0.13208,            0.054284,            0.021387,           0.0065557,           0.0047274,           0.0047274,            0.057427
                   6,            0.050486,            0.029786,            0.005872,             0.58013,             0.49641,             0.50749,             0.20329,            0.048439,            0.018911,           0.0062425,           0.0055156,           0.0055156,            0.050316
                   7,            0.048296,            0.029603,           0.0058637,             0.48396,             0.39938,             0.39393,             0.14427,            0.051648,            0.020803,           0.0087391,           0.0063032,           0.0063032,            0.043203
                   8,            0.047697,            0.029399,           0.0054214,             0.56872,             0.51166,             0.51516,             0.21689,            0.049394,            0.019542,           0.0060797,             0.00709,             0.00709,             0.03609
                   9,            0.046945,            0.029357,           0.0053782,             0.38296,             0.37578,             0.28249,            0.095253,            0.055551,            0.024487,            0.020383,            0.007876,            0.007876,            0.028976
                  10,            0.046533,            0.029404,           0.0051907,             0.57458,             0.45985,             0.47243,             0.18529,            0.051385,            0.021709,           0.0067341,            0.008661,            0.008661,            0.021861
                  11,            0.046154,            0.029514,           0.0057601,             0.45335,             0.41693,             0.38879,             0.14086,            0.052576,            0.020893,           0.0055681,           0.0094449,           0.0094449,            0.014745
                  12,            0.045837,             0.02915,           0.0056362,             0.36663,             0.32326,             0.27734,            0.099936,            0.054839,            0.022102,            0.014099,           0.0099685,           0.0099685,           0.0099685
                  13,            0.046088,            0.029997,           0.0057829,             0.53747,             0.52196,             0.51253,             0.19765,            0.048474,            0.020588,           0.0044239,           0.0099685,           0.0099685,           0.0099685
                  14,            0.044078,             0.02851,           0.0042047,              0.5466,             0.52025,             0.52144,             0.19961,            0.048296,            0.020647,           0.0040222,            0.009963,            0.009963,            0.009963
                  15,             0.04285,            0.027816,           0.0046118,             0.61453,             0.61937,             0.63173,             0.25851,            0.045557,            0.018491,           0.0031253,           0.0099571,           0.0099571,           0.0099571
                  16,             0.04141,             0.02722,           0.0038098,             0.67894,              0.5937,             0.63909,             0.25922,            0.045117,            0.018616,           0.0049359,           0.0099508,           0.0099508,           0.0099508
                  17,            0.041106,            0.027163,           0.0035864,             0.58406,             0.62727,             0.61223,             0.26162,            0.044416,            0.018058,           0.0045897,            0.009944,            0.009944,            0.009944
                  18,            0.039867,            0.026148,           0.0032865,             0.69806,             0.59889,             0.65025,             0.28518,            0.045729,            0.020322,           0.0048961,           0.0099368,           0.0099368,           0.0099368
                  19,            0.038895,             0.02599,           0.0029151,              0.7657,             0.70123,             0.77122,             0.36634,            0.040846,            0.016675,           0.0015548,           0.0099291,           0.0099291,           0.0099291
                  20,            0.037976,            0.025496,           0.0026748,             0.73015,             0.79392,             0.80813,             0.41211,            0.038661,             0.01552,           0.0012758,           0.0099211,           0.0099211,           0.0099211
                  21,            0.037524,            0.024654,           0.0024021,             0.79877,             0.72222,             0.79726,             0.39356,            0.038967,            0.016053,           0.0020249,           0.0099126,           0.0099126,           0.0099126
                  22,            0.037001,            0.024499,           0.0024017,             0.80349,             0.76462,              0.8314,             0.42367,            0.037966,            0.015524,           0.0013862,           0.0099037,           0.0099037,           0.0099037
                  23,            0.036669,            0.024334,            0.002329,             0.73263,             0.73978,             0.77931,             0.39667,            0.037934,            0.015367,           0.0028369,           0.0098943,           0.0098943,           0.0098943
                  24,            0.035995,            0.024269,           0.0024929,              0.7851,             0.77246,             0.83294,             0.43306,            0.036743,             0.01518,           0.0012058,           0.0098845,           0.0098845,           0.0098845
                  25,            0.035373,            0.023698,           0.0023705,             0.78346,              0.6896,             0.77117,             0.39768,            0.038435,            0.016464,           0.0020563,           0.0098743,           0.0098743,           0.0098743
                  26,            0.034842,            0.023052,           0.0021027,             0.79285,             0.78239,              0.8501,             0.45762,            0.035305,            0.014519,          0.00063984,           0.0098637,           0.0098637,           0.0098637
                  27,            0.034414,             0.02294,           0.0019714,             0.83981,              0.8315,             0.89149,             0.48834,            0.034276,            0.014013,          0.00080869,           0.0098527,           0.0098527,           0.0098527
                  28,             0.03377,            0.022982,           0.0018172,             0.84321,             0.81499,             0.87719,             0.48601,            0.034449,            0.014563,          0.00081391,           0.0098412,           0.0098412,           0.0098412
                  29,            0.033316,            0.021924,           0.0019366,             0.85334,             0.82582,             0.89146,             0.50617,            0.033149,            0.013796,          0.00054336,           0.0098293,           0.0098293,           0.0098293
                  30,            0.033753,            0.022284,           0.0021423,             0.85127,             0.80732,             0.87072,             0.48397,            0.035422,            0.014206,          0.00077168,            0.009817,            0.009817,            0.009817
                  31,            0.033274,            0.022081,           0.0018379,             0.86458,             0.85219,             0.90241,             0.53311,            0.032186,            0.013515,          0.00098149,           0.0098042,           0.0098042,           0.0098042
                  32,            0.032454,            0.021953,           0.0017374,              0.8285,              0.8388,             0.87685,             0.50056,            0.032624,            0.013948,          0.00063001,           0.0097911,           0.0097911,           0.0097911
                  33,            0.031759,             0.02139,           0.0016012,             0.86625,             0.86012,              0.9113,             0.53892,            0.031997,            0.013134,          0.00087939,           0.0097775,           0.0097775,           0.0097775
                  34,            0.032057,            0.021486,             0.00166,             0.85044,             0.87904,             0.91454,             0.54501,            0.031686,             0.01287,           0.0010034,           0.0097635,           0.0097635,           0.0097635
                  35,            0.031452,            0.021182,           0.0017133,             0.87001,             0.85211,             0.90784,             0.53557,            0.031623,            0.012976,          0.00066925,           0.0097491,           0.0097491,           0.0097491
                  36,             0.03125,            0.020726,           0.0015471,             0.84813,             0.79682,             0.86944,             0.49971,            0.033712,            0.014432,          0.00084749,           0.0097343,           0.0097343,           0.0097343
                  37,            0.030687,            0.020785,           0.0016682,             0.89341,              0.8746,             0.93563,             0.57336,            0.030766,             0.01258,           0.0004768,           0.0097191,           0.0097191,           0.0097191
                  38,            0.030386,            0.020724,           0.0015842,             0.88341,             0.89805,              0.9404,             0.58356,            0.030126,            0.012083,          0.00076838,           0.0097035,           0.0097035,           0.0097035
                  39,            0.030226,            0.019857,           0.0015584,             0.90072,             0.86639,             0.93313,             0.58132,            0.030177,            0.012399,          0.00054275,           0.0096875,           0.0096875,           0.0096875
                  40,            0.030175,            0.020653,           0.0016914,             0.91259,             0.90521,             0.94218,             0.60678,            0.029364,            0.011718,          0.00077606,            0.009671,            0.009671,            0.009671
                  41,            0.029977,            0.020496,           0.0013963,             0.88452,             0.89219,             0.93256,             0.58844,            0.029817,            0.012571,          0.00061203,           0.0096542,           0.0096542,           0.0096542
                  42,            0.029351,            0.019864,           0.0014944,             0.90578,             0.88817,             0.94309,             0.59553,            0.029222,            0.012158,             0.00074,           0.0096369,           0.0096369,           0.0096369
                  43,            0.029119,            0.019994,           0.0014567,             0.91269,             0.86893,             0.93646,             0.58414,            0.029368,            0.012609,          0.00051375,           0.0096193,           0.0096193,           0.0096193
                  44,            0.028635,            0.019632,           0.0015196,             0.93486,             0.90616,             0.95835,              0.6219,            0.027988,            0.011376,          0.00067066,           0.0096013,           0.0096013,           0.0096013
                  45,              0.0286,             0.01916,           0.0013946,             0.91395,             0.91874,             0.95582,             0.63094,              0.0275,            0.011363,          0.00037444,           0.0095828,           0.0095828,           0.0095828
                  46,            0.028504,            0.019469,           0.0014135,             0.91005,             0.90038,             0.95071,             0.62383,            0.027817,            0.011437,          0.00068855,            0.009564,            0.009564,            0.009564
                  47,            0.028313,             0.01913,           0.0013807,             0.92418,             0.91153,             0.96012,             0.64625,            0.027258,              0.0111,          0.00034599,           0.0095448,           0.0095448,           0.0095448
                  48,            0.027541,            0.019174,           0.0013755,             0.91987,             0.93207,             0.96247,             0.65069,            0.026881,            0.010779,          0.00036044,           0.0095252,           0.0095252,           0.0095252
                  49,            0.027772,            0.018945,           0.0012434,             0.92944,             0.92408,             0.96241,             0.65813,            0.026393,            0.010668,          0.00032455,           0.0095052,           0.0095052,           0.0095052
                  50,            0.027551,            0.018927,           0.0012525,             0.90441,             0.85364,              0.9245,             0.59276,            0.028651,            0.012957,          0.00060713,           0.0094849,           0.0094849,           0.0094849
                  51,            0.027608,             0.01843,           0.0010932,             0.92993,             0.92307,             0.96164,             0.66068,            0.026221,            0.010437,          0.00030595,           0.0094641,           0.0094641,           0.0094641
                  52,            0.027125,            0.018678,             0.00124,              0.9436,             0.90758,             0.96664,             0.66297,            0.026067,            0.010686,          0.00049365,            0.009443,            0.009443,            0.009443
                  53,            0.027058,            0.018836,           0.0011875,             0.92984,             0.93529,              0.9687,             0.66702,            0.025639,            0.010372,          0.00032517,           0.0094215,           0.0094215,           0.0094215
                  54,            0.026817,            0.018609,           0.0012793,             0.93692,             0.92143,              0.9693,             0.66704,            0.025128,             0.01054,          0.00042615,           0.0093996,           0.0093996,           0.0093996
                  55,            0.026513,             0.01826,           0.0010926,             0.94165,             0.92406,             0.96979,             0.67927,            0.024992,            0.010372,          0.00036244,           0.0093773,           0.0093773,           0.0093773
                  56,            0.026748,            0.018082,           0.0011989,             0.94204,             0.92906,             0.97045,             0.67946,            0.024948,            0.010281,          0.00038382,           0.0093547,           0.0093547,           0.0093547
                  57,            0.026077,            0.018021,           0.0010038,             0.94619,             0.95043,             0.97425,             0.69446,            0.024105,           0.0099123,          0.00036419,           0.0093317,           0.0093317,           0.0093317
                  58,            0.026234,             0.01791,           0.0011608,             0.94751,             0.93311,             0.97186,             0.68894,            0.024203,           0.0099955,          0.00029662,           0.0093083,           0.0093083,           0.0093083
                  59,            0.025955,             0.01769,           0.0011783,              0.9428,             0.94186,             0.97249,             0.69097,            0.024383,            0.010074,          0.00024324,           0.0092846,           0.0092846,           0.0092846
                  60,            0.025711,            0.017921,           0.0013264,             0.94874,             0.94416,             0.97362,             0.69508,            0.024248,            0.010125,          0.00029034,           0.0092605,           0.0092605,           0.0092605
                  61,            0.025796,            0.017899,           0.0012567,             0.93717,             0.93273,             0.97244,             0.70831,            0.023298,            0.009698,          0.00021701,           0.0092361,           0.0092361,           0.0092361
                  62,            0.025804,            0.017799,           0.0012287,             0.92059,             0.91842,             0.96183,             0.65989,            0.025839,            0.011011,          0.00031108,           0.0092113,           0.0092113,           0.0092113
                  63,            0.025682,            0.017388,           0.0010905,             0.94645,             0.94654,             0.97564,             0.71315,            0.023317,           0.0095571,          0.00035358,           0.0091861,           0.0091861,           0.0091861
                  64,            0.025419,            0.017287,            0.001038,             0.95623,             0.94183,             0.97708,             0.71192,            0.023184,            0.009517,          0.00026511,           0.0091606,           0.0091606,           0.0091606
                  65,            0.025252,            0.017655,          0.00091542,             0.94271,             0.95075,             0.97597,             0.71473,            0.022942,           0.0096056,          0.00023596,           0.0091348,           0.0091348,           0.0091348
                  66,            0.025187,            0.017453,           0.0011938,             0.94872,             0.93964,             0.97725,             0.71419,            0.022825,           0.0095115,          0.00023051,           0.0091086,           0.0091086,           0.0091086
                  67,            0.024708,            0.017171,           0.0010119,             0.95458,             0.94882,             0.97786,             0.72686,            0.022265,            0.009135,          0.00028021,           0.0090821,           0.0090821,           0.0090821
                  68,            0.024917,             0.01731,           0.0010606,             0.95996,             0.93925,             0.97822,             0.72239,              0.0228,           0.0096903,          0.00025564,           0.0090552,           0.0090552,           0.0090552
                  69,            0.024592,            0.016993,          0.00092607,             0.94965,             0.95029,             0.97885,             0.73394,            0.022204,           0.0091815,          0.00031591,            0.009028,            0.009028,            0.009028
                  70,            0.024642,            0.016676,          0.00089934,             0.96086,             0.94779,             0.97809,             0.73526,            0.021865,           0.0092194,          0.00037985,           0.0090004,           0.0090004,           0.0090004
                  71,            0.024327,            0.016643,          0.00083286,             0.95545,             0.94727,             0.97877,             0.73561,            0.022253,           0.0092601,          0.00033688,           0.0089726,           0.0089726,           0.0089726
                  72,            0.024051,            0.016942,          0.00086335,              0.9484,             0.95527,             0.98069,             0.74654,            0.021176,           0.0089783,          0.00023259,           0.0089444,           0.0089444,           0.0089444
                  73,             0.02358,            0.016525,          0.00097494,             0.96373,             0.95476,             0.98347,             0.75287,            0.021074,           0.0088618,          0.00027694,           0.0089159,           0.0089159,           0.0089159
                  74,            0.023848,            0.016653,          0.00094069,             0.95484,             0.95631,             0.97908,             0.74885,            0.021326,           0.0089512,          0.00025375,            0.008887,            0.008887,            0.008887
                  75,            0.024124,            0.016673,          0.00095757,             0.95173,             0.96333,             0.98345,             0.75463,            0.020651,           0.0087679,          0.00023732,           0.0088579,           0.0088579,           0.0088579
                  76,            0.023716,            0.016514,           0.0010157,             0.95031,             0.96548,             0.98061,             0.75475,            0.020782,           0.0088809,          0.00020329,           0.0088284,           0.0088284,           0.0088284
                  77,            0.023507,            0.016156,          0.00092967,             0.94564,              0.9617,             0.98103,             0.75141,            0.020891,           0.0086597,          0.00021454,           0.0087987,           0.0087987,           0.0087987
                  78,            0.023169,             0.01628,          0.00085021,             0.95294,              0.9583,             0.98096,             0.75841,            0.020539,           0.0087277,           0.0002098,           0.0087686,           0.0087686,           0.0087686
                  79,            0.023615,             0.01638,          0.00094343,             0.96035,             0.95906,             0.98482,             0.76279,            0.020398,           0.0084896,          0.00019416,           0.0087382,           0.0087382,           0.0087382
                  80,            0.023375,            0.016118,           0.0009024,             0.95107,              0.9658,             0.98392,             0.76225,            0.020285,           0.0084274,          0.00020711,           0.0087075,           0.0087075,           0.0087075
                  81,            0.023466,            0.016023,          0.00097288,             0.96771,             0.95339,              0.9827,             0.76642,            0.020211,           0.0085008,          0.00030782,           0.0086765,           0.0086765,           0.0086765
                  82,            0.023241,            0.016318,          0.00096219,             0.96467,              0.9589,             0.98461,             0.77123,            0.020024,           0.0083273,          0.00018965,           0.0086452,           0.0086452,           0.0086452
                  83,            0.023194,            0.015952,          0.00096157,             0.96984,             0.95285,              0.9833,             0.77467,            0.019643,           0.0083747,          0.00018333,           0.0086137,           0.0086137,           0.0086137
                  84,            0.023031,             0.01603,          0.00078901,             0.96931,             0.94139,             0.98065,             0.76593,            0.020116,             0.00862,          0.00020561,           0.0085818,           0.0085818,           0.0085818
                  85,            0.022861,            0.015813,          0.00080543,             0.96511,             0.95574,             0.98173,             0.77418,            0.019635,           0.0084342,           0.0001948,           0.0085497,           0.0085497,           0.0085497
                  86,            0.022687,            0.016136,          0.00079776,             0.96822,             0.95791,             0.98685,             0.78143,             0.01914,           0.0081132,          0.00019031,           0.0085173,           0.0085173,           0.0085173
                  87,            0.022574,            0.015693,          0.00093205,             0.96407,             0.96374,             0.98758,             0.78331,            0.019294,            0.008065,          0.00017335,           0.0084846,           0.0084846,           0.0084846
                  88,            0.022495,            0.015705,          0.00090306,             0.97311,             0.96362,             0.98629,             0.77887,            0.019189,           0.0081144,          0.00018192,           0.0084516,           0.0084516,           0.0084516
                  89,            0.022651,            0.015938,          0.00091271,             0.97162,             0.96204,             0.98836,             0.78265,            0.018884,           0.0080683,          0.00018007,           0.0084184,           0.0084184,           0.0084184
                  90,            0.022259,            0.015549,          0.00072669,             0.96144,             0.96501,             0.98606,             0.78973,            0.018797,           0.0080526,          0.00016733,           0.0083849,           0.0083849,           0.0083849
                  91,            0.022386,            0.015723,           0.0008534,             0.96818,             0.95875,             0.98473,             0.79003,            0.018976,           0.0080141,          0.00019208,           0.0083511,           0.0083511,           0.0083511
                  92,            0.022084,            0.015727,          0.00086011,             0.96444,             0.96589,             0.98569,             0.79129,            0.018848,           0.0079906,           0.0001755,           0.0083171,           0.0083171,           0.0083171
                  93,            0.022059,            0.015457,          0.00081032,             0.96683,             0.96129,             0.98379,             0.79064,            0.018777,           0.0079651,          0.00021019,           0.0082829,           0.0082829,           0.0082829
                  94,            0.022236,            0.015375,          0.00088739,             0.96691,             0.96277,             0.98534,             0.79092,            0.018598,           0.0078985,          0.00018532,           0.0082483,           0.0082483,           0.0082483
                  95,            0.022169,             0.01549,          0.00080147,             0.97269,             0.96315,               0.984,             0.79569,            0.018453,           0.0078964,          0.00016926,           0.0082136,           0.0082136,           0.0082136
                  96,            0.022024,            0.015261,          0.00085882,             0.96984,             0.96416,             0.98697,             0.79713,             0.01835,           0.0078259,          0.00018111,           0.0081786,           0.0081786,           0.0081786
                  97,            0.021635,            0.015432,          0.00076859,             0.96948,             0.96568,             0.98774,             0.79919,            0.018222,           0.0078588,          0.00016979,           0.0081433,           0.0081433,           0.0081433
                  98,            0.021595,            0.015377,           0.0007995,             0.97015,             0.96532,             0.98855,             0.79807,            0.018052,            0.007831,          0.00016141,           0.0081078,           0.0081078,           0.0081078
                  99,            0.021614,            0.015069,          0.00078557,             0.96727,             0.97347,             0.98909,             0.80171,            0.018053,           0.0076692,          0.00018348,           0.0080721,           0.0080721,           0.0080721
                 100,            0.021455,            0.015109,          0.00083308,             0.96909,              0.9726,             0.98795,             0.80358,             0.01793,           0.0075911,          0.00017547,           0.0080362,           0.0080362,           0.0080362
                 101,            0.021673,             0.01538,          0.00084001,             0.97079,              0.9652,             0.98734,             0.80232,            0.018097,           0.0077252,          0.00015785,               0.008,               0.008,               0.008
                 102,            0.021429,             0.01511,          0.00082177,             0.97609,             0.96273,             0.98892,             0.80591,            0.017891,           0.0076761,          0.00016017,           0.0079636,           0.0079636,           0.0079636
                 103,            0.021343,            0.015054,          0.00082238,             0.96276,             0.97633,             0.98895,             0.80656,            0.017774,           0.0075799,          0.00015235,            0.007927,            0.007927,            0.007927
                 104,            0.020941,            0.014765,          0.00071206,             0.97485,             0.97135,             0.99073,             0.81153,            0.017504,           0.0074364,          0.00015352,           0.0078902,           0.0078902,           0.0078902
                 105,            0.021006,            0.014792,           0.0007137,             0.97647,             0.96562,             0.99018,             0.81382,            0.017527,           0.0074864,          0.00014397,           0.0078532,           0.0078532,           0.0078532
                 106,             0.02091,            0.014775,           0.0007113,             0.96979,             0.97041,             0.98914,              0.8162,            0.017241,           0.0074151,          0.00014541,            0.007816,            0.007816,            0.007816
                 107,            0.020892,            0.014641,           0.0006696,              0.9689,             0.96965,             0.98978,             0.81608,            0.017232,           0.0074358,          0.00014257,           0.0077785,           0.0077785,           0.0077785
                 108,            0.020707,             0.01483,          0.00065255,             0.97317,             0.97279,             0.99111,             0.82025,            0.017047,           0.0073091,           0.0001475,           0.0077409,           0.0077409,           0.0077409
                 109,            0.020753,             0.01454,          0.00079641,             0.97033,             0.97106,             0.98956,             0.81963,            0.017089,           0.0073439,          0.00014785,           0.0077031,           0.0077031,           0.0077031
                 110,            0.020576,            0.014517,          0.00071458,             0.97763,             0.96423,             0.98874,             0.81826,            0.017007,           0.0072977,           0.0001457,           0.0076651,           0.0076651,           0.0076651
                 111,             0.02071,            0.014507,          0.00067902,             0.97301,              0.9674,             0.98899,             0.82461,            0.016805,            0.007273,          0.00014131,           0.0076269,           0.0076269,           0.0076269
                 112,            0.020499,            0.014525,          0.00072506,             0.97287,             0.96833,             0.98946,             0.82302,            0.016859,           0.0072561,          0.00013697,           0.0075886,           0.0075886,           0.0075886
                 113,            0.020707,            0.014335,          0.00071942,             0.96916,             0.97211,             0.99029,             0.82272,            0.016788,           0.0072193,          0.00012909,           0.0075501,           0.0075501,           0.0075501
                 114,            0.020504,            0.014458,          0.00071348,             0.97122,             0.97273,             0.99011,             0.82003,            0.016863,           0.0072463,          0.00012893,           0.0075114,           0.0075114,           0.0075114
                 115,            0.020493,            0.014506,          0.00070926,             0.97856,             0.96371,             0.98858,             0.82486,            0.016674,           0.0072369,          0.00012783,           0.0074725,           0.0074725,           0.0074725
                 116,            0.020199,            0.014551,          0.00079546,             0.96487,             0.97451,              0.9891,             0.82739,            0.016661,           0.0072524,          0.00013073,           0.0074335,           0.0074335,           0.0074335
                 117,             0.02034,            0.014417,          0.00068039,             0.97072,             0.97681,             0.99115,             0.83001,            0.016465,           0.0071345,          0.00013486,           0.0073943,           0.0073943,           0.0073943
                 118,            0.020057,            0.014356,          0.00062659,             0.98168,              0.9667,             0.99127,             0.83212,            0.016383,           0.0070725,          0.00013698,            0.007355,            0.007355,            0.007355
                 119,            0.020012,            0.014175,          0.00067213,             0.97926,             0.97111,             0.99125,             0.83174,            0.016269,            0.007073,          0.00013456,           0.0073155,           0.0073155,           0.0073155
                 120,            0.020321,            0.014404,           0.0006499,             0.97857,             0.96919,             0.99125,             0.83071,            0.016158,              0.0071,          0.00013076,           0.0072758,           0.0072758,           0.0072758
                 121,            0.019885,            0.014363,          0.00063398,              0.9715,             0.97561,             0.99105,             0.83352,            0.016074,           0.0070747,          0.00012905,           0.0072361,           0.0072361,           0.0072361
                 122,            0.020013,            0.014213,          0.00059684,             0.97354,              0.9724,             0.99068,             0.83452,            0.016016,            0.007027,          0.00013539,           0.0071962,           0.0071962,           0.0071962
                 123,            0.019821,            0.014117,          0.00066302,             0.98057,             0.96802,             0.99054,             0.83753,            0.015957,           0.0070202,          0.00013085,           0.0071561,           0.0071561,           0.0071561
                 124,            0.019806,            0.014293,          0.00064682,             0.97707,             0.97404,              0.9907,             0.83707,            0.015968,           0.0069267,          0.00012645,            0.007116,            0.007116,            0.007116
                 125,            0.019778,            0.014096,           0.0007712,             0.97585,             0.97325,             0.99061,             0.83843,            0.015891,           0.0069087,          0.00012865,           0.0070757,           0.0070757,           0.0070757
                 126,            0.019581,            0.014095,           0.0006388,             0.97605,             0.97354,             0.98995,             0.83848,            0.015795,           0.0069031,          0.00012248,           0.0070353,           0.0070353,           0.0070353
                 127,            0.019551,            0.013984,          0.00056913,             0.97933,             0.97428,             0.99113,             0.84082,            0.015675,           0.0068615,          0.00012663,           0.0069948,           0.0069948,           0.0069948
                 128,            0.019221,            0.013958,          0.00061148,             0.97747,             0.97555,             0.99153,             0.83967,            0.015748,           0.0069111,          0.00012597,           0.0069541,           0.0069541,           0.0069541
                 129,            0.019714,            0.013824,          0.00074298,             0.97913,             0.97102,             0.99118,             0.83952,            0.015717,           0.0069107,          0.00012653,           0.0069134,           0.0069134,           0.0069134
                 130,            0.019396,            0.013861,          0.00064088,             0.97777,             0.97145,             0.99107,             0.83979,            0.015586,           0.0068833,          0.00012654,           0.0068726,           0.0068726,           0.0068726
                 131,            0.019183,            0.013856,          0.00053164,              0.9756,             0.97374,             0.99124,             0.84191,            0.015586,           0.0068724,          0.00013037,           0.0068316,           0.0068316,           0.0068316
                 132,            0.019258,            0.013781,          0.00065537,             0.97721,             0.97387,             0.99148,              0.8417,            0.015553,           0.0068185,          0.00013573,           0.0067906,           0.0067906,           0.0067906
                 133,            0.019381,            0.013959,           0.0005992,             0.97755,             0.97034,              0.9906,             0.84481,            0.015499,           0.0067964,          0.00012742,           0.0067495,           0.0067495,           0.0067495
                 134,            0.018974,            0.013666,          0.00059727,             0.98035,             0.96684,             0.98997,              0.8447,            0.015398,            0.006788,          0.00012645,           0.0067083,           0.0067083,           0.0067083
                 135,            0.019278,            0.013735,          0.00062413,             0.97736,             0.96938,             0.99043,             0.84572,            0.015444,           0.0067645,          0.00012545,           0.0066671,           0.0066671,           0.0066671
                 136,            0.019022,            0.013636,          0.00058105,             0.97964,              0.9722,             0.99178,             0.84734,            0.015308,           0.0067003,          0.00012571,           0.0066257,           0.0066257,           0.0066257
                 137,            0.019031,            0.013604,          0.00063505,             0.97496,             0.97556,             0.99018,             0.84961,            0.015265,           0.0066618,          0.00012476,           0.0065843,           0.0065843,           0.0065843
                 138,            0.019058,            0.013714,          0.00060791,             0.97676,             0.97653,             0.99052,             0.84923,            0.015138,           0.0066248,          0.00012512,           0.0065429,           0.0065429,           0.0065429
                 139,            0.019122,            0.013574,          0.00066117,             0.98008,             0.97094,              0.9916,             0.84776,            0.015113,           0.0066577,          0.00012235,           0.0065013,           0.0065013,           0.0065013
                 140,            0.019004,            0.013653,          0.00064499,             0.97929,             0.97385,              0.9917,             0.84894,            0.015012,           0.0066205,          0.00012027,           0.0064597,           0.0064597,           0.0064597
                 141,            0.018946,            0.013502,          0.00062702,             0.97736,             0.97368,             0.99148,             0.85192,            0.014979,           0.0066228,          0.00012369,           0.0064181,           0.0064181,           0.0064181
                 142,            0.018599,            0.013535,           0.0005812,              0.9773,             0.97298,             0.99119,             0.85252,            0.014959,           0.0066279,          0.00012548,           0.0063764,           0.0063764,           0.0063764
                 143,            0.018379,            0.013344,          0.00058054,             0.97692,             0.97654,              0.9917,             0.85195,            0.014998,            0.006606,          0.00012278,           0.0063347,           0.0063347,           0.0063347
                 144,            0.018442,            0.013218,           0.0006012,              0.9731,             0.97899,             0.99192,             0.85357,            0.015015,           0.0065702,          0.00011944,            0.006293,            0.006293,            0.006293
                 145,            0.018528,            0.013273,           0.0005199,             0.97582,             0.97638,             0.99167,             0.85298,            0.014964,           0.0065527,          0.00011781,           0.0062512,           0.0062512,           0.0062512
                 146,            0.018353,            0.013256,           0.0005598,               0.973,             0.97756,              0.9916,             0.85106,            0.014959,           0.0065635,          0.00011941,           0.0062093,           0.0062093,           0.0062093
                 147,            0.018382,            0.013235,          0.00057359,              0.9739,             0.97621,             0.99133,             0.85328,            0.014889,            0.006564,          0.00011816,           0.0061675,           0.0061675,           0.0061675
                 148,            0.018245,            0.013203,          0.00057679,             0.97277,             0.97788,             0.99056,             0.85451,            0.014839,            0.006544,          0.00011756,           0.0061256,           0.0061256,           0.0061256
